TABLE 9. NUTRITION: BREASTFEEDING AND DIETS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,"Infant and Young Child Feeding (0−23 months)
2018–2024 (R)",,,,,,,,,,,,,,,,,,,,,,,
,Early initiation of breastfeeding (%),,Exclusive breastfeeding (<6 months) (%),,"Introduction to solid, semi-sold or soft foods (6−8 months)",,Continued breastfeeding (12–23 months) (%),,,,,,Percentage of children consuming (6–23 months) (%),,,,,,Minimum meal frequency (6–23 months) (%),,Minimum acceptable diet (6–23 months) (%),,Zero vegetable or fruit consumption (6–23 months) (%),
,,,,,,,All children,,Poorest 20%,,Richest 20%,,<=2 food groups (severe food poverty),,3−4 food groups (moderate food poverty),,At least 5 food groups (minimum dietary diversity),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,48,,63,,57,,68,,74,,66,,49,,37,,15,,34,,7,,61,
Albania,57,x,37,x,89,x,43,x,38,x,37,x,18,x,29,x,53,x,46,x,27,x,26,x
Algeria,33,,29,,88,,37,,36,,43,,17,,44,,39,,46,,19,,26,
Andorra,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Angola,53,,33,,79,x,67,x,74,x,53,x,30,x,41,x,20,,31,x,12,x,36,x
Anguilla,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Antigua and Barbuda,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Argentina,58,,32,x,97,x,53,,53,,41,,-,,-,,-,,64,x,-,,-,
Armenia,41,x,45,x,90,x,29,x,32,x,24,x,14,x,49,x,36,x,62,x,22,x,22,x
Australia,-,,-,,-,,20,,-,,-,,-,,-,,-,,-,,-,,-,
Austria,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Azerbaijan,14,,18,,93,,28,,34,,18,,8,,34,,58,,74,,35,,15,
Bahamas,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Bahrain,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Bangladesh,37,,53,,76,,90,,91,,89,,21,,41,,38,,65,,30,,46,
Barbados,40,x,20,x,90,x,41,x,-,,-,,-,,-,,-,,59,x,-,,-,
Belarus,24,,22,,96,,17,,11,,20,,1,,29,,70,,93,,57,,3,
Belgium,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Belize,68,x,33,x,79,x,47,x,59,x,37,x,10,x,32,x,58,x,64,x,-,,30,x
Benin,25,,45,,77,,69,,81,,56,,36,,42,,22,,32,,9,,48,
Bhutan,82,,69,,93,x,87,,86,,87,,47,x,37,x,16,x,63,x,-,,61,x
Bolivia (Plurinational State of),80,,56,x,75,,50,,74,x,53,x,9,,17,,74,,-,,-,,8,
Bosnia and Herzegovina,42,x,18,x,76,x,12,x,17,x,10,x,-,,-,,-,,71,x,-,,-,
Botswana,53,x,30,x,73,x,15,x,-,,-,,-,,-,,-,,-,,-,,-,
Brazil,62,,46,,86,,44,,50,,32,,8,ER,28,ER,63,ER,-,,-,,21,
British Virgin Islands,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Brunei Darussalam,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Bulgaria,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Burkina Faso,60,,51,,52,,81,,87,,70,,32,,49,,19,,38,,11,,33,
Burundi,89,,83,,85,,87,,92,x,84,x,18,x,64,x,29,,50,,18,,9,x
Cabo Verde,71,,42,,98,,42,,-,,-,,-,,-,,-,,-,,-,,-,
Cambodia,54,,50,,88,,40,,58,,20,,14,,38,,49,,82,,42,,29,
Cameroon,48,,39,,76,,43,,65,,12,,28,,53,,20,,44,,11,,32,
Canada,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Central African Republic,63,,36,,77,,73,,74,,52,,19,x,54,x,27,x,11,,9,x,22,x
Chad,47,,7,,79,,71,,73,,64,,17,,35,,49,,71,,37,,28,
Chile,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
China,29,"ER,x",35,"ER,x",83,"ER,x",22,"ER,x",-,,-,,10,"ER,x",29,"ER,x",61,"ER,x",72,"ER,x",43,"ER,x",9,"ER,x"
Colombia,69,x,37,x,90,x,42,x,49,x,36,x,7,x,24,x,69,x,60,x,42,x,15,x
Comoros,17,,23,,82,,59,,53,,60,,35,,49,,16,,28,x,5,x,56,
Congo,25,x,33,x,84,x,32,x,54,x,20,x,35,x,52,x,14,x,29,x,4,x,51,x
Cook Islands,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Costa Rica,53,,25,,99,,46,,47,,40,,3,,21,,76,,76,x,-,,10,
Côte d'Ivoire,42,,34,,45,,59,,76,,40,,31,,41,,28,,29,,11,,41,
Croatia,-,,24,x,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Cuba,64,,41,,94,,25,,35,,23,,9,,33,,58,,76,x,54,x,22,
