Country,antenatal_care_4plus_%,continued_breastfeeding_%,gdp_per_capita_USD,female_upper_secondary_education_%,female_labour_force_participation_%,gdp_percentile
Afghanistan,33.0,68.0,353.0,6.0,16.0,1.04
Albania,78.0,43.0,8368.0,46.0,53.0,55.44
Algeria,70.0,37.0,5260.0,25.0,17.0,41.97
Andorra,,,46545.0,60.0,,87.56
Angola,61.0,67.0,2310.0,15.0,75.0,25.39
Anguilla,,,,,,
Antigua and Barbuda,100.0,,21560.0,,,73.06
Argentina,90.0,53.0,13731.0,36.0,51.0,65.8
Armenia,96.0,29.0,8716.0,95.0,61.0,56.99
Australia,92.0,20.0,64712.0,81.0,63.0,94.3
Austria,,,56506.0,77.0,57.0,93.26
Azerbaijan,91.0,28.0,7155.0,91.0,63.0,50.78
Bahamas,85.0,,34750.0,82.0,70.0,84.97
Bahrain,100.0,,29084.0,73.0,45.0,79.79
Bangladesh,38.0,90.0,2529.0,29.0,36.0,27.46
Barbados,88.0,41.0,22673.0,25.0,62.0,75.65
Belarus,100.0,17.0,7829.0,94.0,65.0,53.37
Belgium,,,53475.0,74.0,51.0,91.19
Belize,93.0,47.0,7988.0,46.0,50.0,53.89
Benin,53.0,69.0,1435.0,3.0,74.0,16.06
Bhutan,87.0,87.0,3704.0,42.0,57.0,33.68
Bolivia (Plurinational State of),86.0,50.0,3701.0,48.0,73.0,33.16
Bosnia and Herzegovina,84.0,12.0,8426.0,63.0,42.0,56.48
Botswana,73.0,15.0,7250.0,44.0,65.0,51.81
Brazil,94.0,44.0,10044.0,56.0,53.0,59.07
British Virgin Islands,,,,21.0,,
Brunei Darussalam,93.0,,33431.0,68.0,54.0,83.42
Bulgaria,,,15798.0,68.0,50.0,68.39
Burkina Faso,72.0,81.0,874.0,3.0,42.0,8.29
Burundi,49.0,87.0,200.0,4.0,78.0,0.52
Cabo Verde,86.0,42.0,4322.0,20.0,53.0,37.82
Cambodia,86.0,40.0,1875.0,8.0,74.0,20.73
Cameroon,65.0,43.0,1674.0,10.0,58.0,19.17
Canada,99.0,,53372.0,90.0,60.0,90.67
Central African Republic,41.0,73.0,445.0,3.0,65.0,2.59
Chad,31.0,71.0,719.0,2.0,64.0,6.74
Chile,,,17093.0,66.0,52.0,69.43
China,93.0,22.0,12614.0,30.0,61.0,63.73
Colombia,90.0,42.0,6980.0,57.0,52.0,49.74
Comoros,64.0,59.0,1587.0,19.0,47.0,16.58
Congo,79.0,32.0,2509.0,14.0,68.0,26.94
Cook Islands,,,,,,
Costa Rica,94.0,46.0,16595.0,42.0,44.0,68.91
Côte d'Ivoire,56.0,59.0,2729.0,8.0,59.0,29.02
Croatia,97.0,,21460.0,75.0,47.0,72.54
Cuba,79.0,25.0,9500.0,56.0,41.0,58.55
Cyprus,,,34701.0,77.0,61.0,84.46
Czechia,,,30427.0,88.0,52.0,80.83
Democratic People's Republic of Korea,94.0,,,74.0,74.0,
Democratic Republic of the Congo,43.0,71.0,649.0,16.0,60.0,5.7
Denmark,,,67967.0,77.0,60.0,94.82
Djibouti,23.0,,3606.0,10.0,51.0,32.12
Dominica,,,8954.0,10.0,,57.51
Dominican Republic,93.0,22.0,10716.0,48.0,53.0,60.62
Ecuador,89.0,52.0,6533.0,45.0,53.0,47.67
Egypt,90.0,57.0,3513.0,47.0,15.0,31.61
El Salvador,90.0,67.0,5344.0,34.0,49.0,42.49
Equatorial Guinea,67.0,31.0,7067.0,,55.0,50.26
Eritrea,57.0,86.0,,,72.0,
Estonia,97.0,,29824.0,88.0,62.0,80.31
Eswatini,74.0,34.0,3797.0,15.0,47.0,34.72
Ethiopia,43.0,81.0,1294.0,3.0,58.0,13.99
Fiji,89.0,46.0,5868.0,26.0,38.0,45.08
Finland,,,53756.0,83.0,59.0,91.71
France,99.0,,44461.0,72.0,53.0,87.05
Gabon,78.0,17.0,8420.0,,43.0,55.96
Gambia,79.0,74.0,844.0,24.0,45.0,7.77
Georgia,84.0,25.0,8120.0,92.0,55.0,54.4
Germany,99.0,,52746.0,78.0,56.0,89.64
Ghana,88.0,67.0,2238.0,11.0,62.0,24.35
Greece,,,22990.0,67.0,45.0,76.17
Grenada,,,10464.0,53.0,,60.1
Guatemala,86.0,66.0,5798.0,22.0,52.0,44.56
Guinea,58.0,78.0,1664.0,24.0,63.0,18.65
Guinea-Bissau,81.0,75.0,914.0,12.0,60.0,9.84
Guyana,85.0,52.0,20626.0,36.0,43.0,72.02
Haiti,67.0,56.0,1693.0,9.0,64.0,19.69
Holy See,,,,,,
Honduras,88.0,52.0,3247.0,28.0,40.0,30.05
Hungary,,,22147.0,80.0,54.0,74.09
Iceland,,,78811.0,79.0,70.0,95.34
India,58.0,80.0,2485.0,26.0,35.0,25.91
Indonesia,77.0,65.0,4941.0,37.0,53.0,40.93
Iran (Islamic Republic of),93.0,,4503.0,43.0,18.0,39.38
Iraq,68.0,35.0,5512.0,17.0,11.0,43.52
Ireland,,,103685.0,81.0,60.0,98.45
Israel,,,52262.0,85.0,58.0,89.12
Italy,68.0,,38373.0,53.0,42.0,86.53
Jamaica,84.0,43.0,6874.0,,61.0,49.22
Japan,,,33834.0,84.0,54.0,83.94
Jordan,93.0,24.0,4482.0,41.0,14.0,38.86
Kazakhstan,95.0,41.0,13137.0,97.0,63.0,65.28
Kenya,66.0,65.0,1950.0,33.0,63.0,21.24
Kiribati,67.0,61.0,2090.0,48.0,39.0,22.8
Kosovo (UNSCR 1244),94.0,,5943.0,,,45.6
Kuwait,,,37533.0,39.0,50.0,85.49
Kyrgyzstan,94.0,51.0,1970.0,64.0,44.0,21.76
Lao People's Democratic Republic,72.0,37.0,2075.0,20.0,61.0,22.28
Latvia,,,23184.0,89.0,56.0,76.68
Lebanon,,27.0,3824.0,42.0,23.0,35.23
Lesotho,82.0,40.0,878.0,6.0,60.0,8.81
Liberia,84.0,68.0,800.0,17.0,72.0,7.25
Libya,66.0,,7330.0,10.0,34.0,52.33
Liechtenstein,,,187267.0,63.0,,99.48
Lithuania,,,27103.0,92.0,58.0,78.24
Luxembourg,97.0,,128259.0,75.0,58.0,98.96
Madagascar,60.0,73.0,529.0,7.0,69.0,3.11
Malawi,51.0,83.0,673.0,8.0,63.0,6.22
Malaysia,98.0,51.0,11649.0,69.0,56.0,62.18
Maldives,82.0,73.0,12667.0,28.0,42.0,64.25
Mali,51.0,76.0,897.0,3.0,42.0,9.33
Malta,,,37882.0,55.0,57.0,86.01
Marshall Islands,77.0,36.0,6763.0,47.0,28.0,48.7
Mauritania,39.0,67.0,2149.0,3.0,28.0,23.32
Mauritius,,,11417.0,46.0,45.0,61.66
Mexico,94.0,39.0,13926.0,37.0,46.0,66.84
Micronesia (Federated States of),,,3992.0,59.0,,36.79
Monaco,,,240862.0,88.0,,100.0
Mongolia,94.0,64.0,5765.0,82.0,53.0,44.04
